Feature,Importance_Mean,Importance_Std
SARFAESI_Action_Flag,0.019000000000000017,0.0030659419433511806
Sector_Encoded,0.009600000000000008,0.004200000000000004
Related_Party_Anomaly_Flag,0.003400000000000003,0.0012000000000000012
Promoter_Disputes_Flag,0.0028000000000000026,0.001166190378969061
Fraud_Keywords_Count,0.002400000000000002,0.0006633249580710806
Negative_News_Sentiment,0.0014000000000000013,0.005444263035526484
Auditor_Qualified_Opinion_Flag,0.0009000000000000008,0.0012206555615733713
DIN_Disqualification_Flag,0.00010000000000000009,0.0009433981132056611
NCLT_Active_Flag,-0.00020000000000000017,0.0008717797887081355
Litigation_Count,-0.002200000000000002,0.0033406586176980163
Governance_Issues_Flag,-0.004200000000000004,0.0010770329614269018
