Feature,Importance_Mean,Importance_Std
Rating_Score,0.014600000000000012,0.002870540018881467
EBITDA_Margin,0.010600000000000009,0.0028354893757515675
Revenue_Growth_YoY,0.005700000000000005,0.0016763054614240226
DSCR,0.005400000000000005,0.0014282856857085711
DE_vs_Sector_Max,0.003300000000000003,0.0021931712199461328
Sector_Encoded,0.003300000000000003,0.0025317977802344345
Revenue_Log,0.003100000000000003,0.0031448370387032803
Cash_Flow_Stability_Index,0.0025000000000000022,0.002156385865284784
DSCR_vs_Sector_Threshold,0.002300000000000002,0.0019000000000000017
Net_Profit_Margin,0.0016000000000000014,0.002059126028197402
Debt_to_Equity,0.0009000000000000008,0.002507987240796893
Interest_Coverage_Ratio,0.0008000000000000007,0.001400000000000001
Current_Ratio,-0.00010000000000000009,0.0021656407827707735
EBITDA_vs_Floor,-0.0008000000000000007,0.0017776388834631193
