Feature,Importance_Mean,Importance_Std
Tax_Compliance_Score,0.02199999999999991,0.0036606010435446287
GST_Filing_Delay_Days,0.019799999999999908,0.0016613247725836165
Payment_Delays_Days,0.0032000000000000028,0.0026758176320519325
Rating_Downgrades_Count,0.0030000000000000027,0.0015491933384829681
GSTR_2A_3B_ITC_Mismatch_Pct,0.002300000000000002,0.0028301943396169833
GST_Scrutiny_Notice_Flag,0.0018000000000000017,0.00040000000000000034
Cash_Deposit_Ratio,0.0015000000000000013,0.002974894956128706
Historical_Defaults,0.0015000000000000013,0.0011180339887498958
Round_Trip_Transaction_Count,0.00030000000000000024,0.0006403124237432854
Sector_Encoded,-0.0018000000000000017,0.001989974874213242
GST_Variance_vs_Sector,-0.003500000000000003,0.0018027756377319963
GST_vs_Bank_Variance_Pct,-0.004500000000000004,0.003138470965295046
